CODGEO;DEP;LIBGEO;Zonage ABC en vigueur depuis le 26 juin 2026
02274;02;Ébouleau;C
02275;02;Effry;C
02276;02;Englancourt;C
02277;02;Épagny;C
02278;02;Éparcy;C
02279;02;Épaux-Bézu;C
02280;02;Épieds;C
02281;02;L'Épine-aux-Bois;C
02282;02;Eppes;C
02283;02;Erlon;C
02284;02;Erloy;C
02286;02;Esquéhéries;C
02287;02;Essigny-le-Grand;C
02288;02;Essigny-le-Petit;B2
02289;02;Essises;C
02290;02;Essômes-sur-Marne;B2
02291;02;Estrées;C
02292;02;Étampes-sur-Marne;B2
02293;02;Étaves-et-Bocquiaux;C
02294;02;Étouvelles;C
02295;02;Étréaupont;C
02296;02;Étreillers;C
02297;02;Étrépilly;C
02298;02;Étreux;C
02299;02;Évergnicourt;C
02302;02;Faverolles;C
02303;02;Fayet;B2
02304;02;La Fère;C
02305;02;Fère-en-Tardenois;C
02306;02;La Ferté-Chevresis;C
02307;02;La Ferté-Milon;B2
02308;02;Fesmy-le-Sart;C
02309;02;Festieux;C
02310;02;Fieulaine;B2
02312;02;La Flamengrie;C
02313;02;Flavigny-le-Grand-et-Beaurain;C
02315;02;Flavy-le-Martel;C
02316;02;Fleury;C
02317;02;Fluquières;C
02318;02;Folembray;C
02319;02;Fonsomme;B2
02320;02;Fontaine-lès-Clercs;C
02321;02;Fontaine-lès-Vervins;C
02322;02;Fontaine-Notre-Dame;B2
02323;02;Fontaine-Uterte;C
02324;02;Fontenelle;C
02326;02;Fontenoy;C
02327;02;Foreste;C
02328;02;Fossoy;C
02329;02;Fourdrain;C
02330;02;Francilly-Selency;C
02331;02;Franqueville;C
02332;02;Fresnes-en-Tardenois;C
02333;02;Fresnes-sous-Coucy;C
02334;02;Fresnoy-le-Grand;C
02335;02;Fressancourt;C
02336;02;Frières-Faillouël;C
02337;02;Froidestrées;C
02338;02;Froidmont-Cohartille;C
02339;02;Gandelu;B2
02340;02;Gauchy;B2
02341;02;Gercy;C
02342;02;Gergny;C
02343;02;Germaine;C
02345;02;Gibercourt;C
02346;02;Gizy;C
02347;02;Gland;C
02349;02;Goudelancourt-lès-Berrieux;C
02350;02;Goudelancourt-lès-Pierrepont;C
02351;02;Goussancourt;C
02352;02;Gouy;C
02353;02;Grandlup-et-Fay;C
02354;02;Grandrieux;C
02355;02;Gricourt;C
02356;02;Grisolles;C
02357;02;Gronard;C
02358;02;Grougis;C
02359;02;Grugies;B2
02360;02;Villeneuve-sur-Aisne;C
02361;02;Guise;C
02362;02;Guivry;C
02363;02;Guny;C
02364;02;Guyencourt;C
02366;02;Hannapes;C
02367;02;Happencourt;C
02368;02;Haramont;C
02369;02;Harcigny;C
02370;02;Hargicourt;C
02371;02;Harly;B2
02372;02;Hartennes-et-Taux;C
02373;02;Hary;C
02374;02;Lehaucourt;C
02375;02;Hautevesnes;B2
02376;02;Hauteville;C
02377;02;Haution;C
02378;02;La Hérie;C
02379;02;Le Hérie-la-Viéville;C
02380;02;Hinacourt;C
02381;02;Hirson;C
02382;02;Holnon;C
02383;02;Homblières;B2
02384;02;Houry;C
02385;02;Housset;C
02386;02;Iron;C
02387;02;Itancourt;C
02388;02;Iviers;C
02389;02;Jaulgonne;C
02390;02;Jeancourt;C
02391;02;Jeantes;C
02392;02;Joncourt;C
02393;02;Jouaignes;C
02395;02;Jumencourt;C
02396;02;Jumigny;C
02397;02;Jussy;C
02398;02;Juvigny;C
02399;02;Juvincourt-et-Damary;C
02400;02;Laffaux;C
02401;02;Laigny;C
02402;02;Lanchy;C
02403;02;Landifay-et-Bertaignemont;C
02404;02;Landouzy-la-Cour;C
02405;02;Landouzy-la-Ville;C
02406;02;Landricourt;C
02407;02;Laniscourt;C
02408;02;Laon;B2
02409;02;Lappion;C
02410;02;Largny-sur-Automne;B2
02411;02;Latilly;C
02412;02;Launoy;C
02413;02;Laval-en-Laonnois;C
02414;02;Lavaqueresse;C
02415;02;Laversine;C
02416;02;Lemé;C
02417;02;Lempire;C
02418;02;Lerzy;C
02419;02;Leschelle;C
02420;02;Lesdins;B2
02421;02;Lesges;C
02422;02;Lesquielles-Saint-Germain;C
02423;02;Leuilly-sous-Coucy;C
02424;02;Leury;C
02425;02;Leuze;C
02426;02;Levergies;C
02427;02;Lhuys;C
02428;02;Licy-Clignon;C
02429;02;Lierval;C
02430;02;Liesse-Notre-Dame;C
02431;02;Liez;C
02432;02;Limé;C
02433;02;Lislet;C
02435;02;Logny-lès-Aubenton;C
02438;02;Longpont;B2
02439;02;Les Septvallons;C
02440;02;Lor;C
02441;02;Louâtre;C
02442;02;Loupeigne;C
02443;02;Lucy-le-Bocage;C
02444;02;Lugny;C
02445;02;Luzoir;C
02446;02;Ly-Fontaine;C
02447;02;Maast-et-Violaine;C
02448;02;Mâchecourt;C
02449;02;Macogny;C
02450;02;Macquigny;C
02451;02;Magny-la-Fosse;C
02452;02;Maissemy;C
02453;02;Maizy;C
02454;02;La Malmaison;C
02455;02;Malzy;C
02456;02;Manicamp;C
02457;02;Marchais;C
02458;02;Dhuys et Morin-en-Brie;B2
02459;02;Marcy;B2
02460;02;Marcy-sous-Marle;C
02461;02;Marest-Dampcourt;C
02462;02;Mareuil-en-Dôle;C
02463;02;Marfontaine;C
02464;02;Margival;C
